fr_375	1
fr_376	0
fr_377	1
fr_378	1
fr_379	0
fr_380	1
fr_381	1
fr_382	0
fr_383	1
fr_384	1
fr_385	1
fr_386	1
fr_387	1
fr_388	1
fr_389	1
fr_390	0
fr_391	0
fr_392	1
fr_393	0
fr_394	0
fr_395	0
fr_396	0
fr_397	1
fr_398	1
fr_399	1
fr_400	0
fr_401	0
fr_402	1
fr_403	1
fr_404	1
fr_405	0
fr_406	1
fr_407	1
fr_408	0
fr_409	1
fr_410	0
fr_411	0
fr_412	0
fr_413	1
fr_414	0
fr_415	0
fr_416	1
fr_417	1
fr_418	0
fr_419	1
fr_420	1
fr_421	0
fr_422	1
fr_423	0
fr_424	1
fr_425	0
fr_426	1
fr_427	1
fr_428	1
fr_429	0
fr_430	0
fr_431	1
fr_432	1
fr_433	1
fr_434	0
fr_435	1
fr_436	0
fr_437	0
fr_438	0
fr_439	0
fr_440	0
fr_441	0
fr_442	1
fr_443	1
fr_444	1
fr_445	1
fr_446	1
fr_447	1
fr_448	1
fr_449	0
fr_450	0
fr_451	1
fr_452	1
fr_453	0
fr_454	0
fr_455	0
fr_456	0
fr_457	0
fr_458	1
fr_459	1
fr_460	0
fr_461	1
fr_462	0
fr_463	0
fr_464	0
fr_465	0
fr_466	0
fr_467	1
fr_468	1
fr_469	1
fr_470	1
fr_471	0
fr_472	0
fr_473	0
fr_474	1
fr_475	1
fr_476	0
fr_477	1
fr_478	1
fr_479	0
fr_480	0
fr_481	0
fr_482	0
fr_483	1
fr_484	0
fr_485	0
fr_486	0
fr_487	1
fr_488	0
fr_489	1
fr_490	1
fr_491	1
fr_492	0
fr_493	0
fr_494	1
fr_495	0
fr_496	1
fr_497	0
fr_498	1
fr_499	1
fr_500	0
fr_501	1
fr_502	1
fr_503	0
fr_504	0
fr_505	0
fr_506	1
fr_507	1
fr_508	0
fr_509	0
fr_510	1
fr_511	0
fr_512	1
fr_513	0
fr_514	1
fr_515	1
fr_516	1
fr_517	1
fr_518	0
fr_519	1
fr_520	1
fr_521	0
fr_522	0
fr_523	1
fr_524	1
fr_525	0
fr_526	1
fr_527	0
fr_528	0
fr_529	0
fr_530	0
fr_531	1
fr_532	0
fr_533	0
fr_534	1
fr_535	0
fr_536	0
fr_537	1
fr_538	0
fr_539	0
fr_540	0
fr_541	1
fr_542	1
fr_543	0
fr_544	0
fr_545	1
fr_546	0
fr_547	0
fr_548	1
fr_549	0
fr_550	0
fr_551	1
fr_552	1
fr_553	1
fr_554	1
fr_555	1
fr_556	1
fr_557	0
fr_558	0
fr_559	0
fr_560	1
fr_561	1
fr_562	0
fr_563	1
fr_564	0
fr_565	1
fr_566	1
fr_567	0
fr_568	1
fr_569	0
fr_570	0
fr_571	0
fr_572	1
fr_573	1
fr_574	0
fr_575	1
fr_576	1
fr_577	1
fr_578	1
fr_579	1
fr_580	0
fr_581	1
fr_582	0
fr_583	1
fr_584	0
fr_585	0
fr_586	1
fr_587	0
fr_588	0
fr_589	1
fr_590	0
fr_591	1
fr_592	1
fr_593	1
fr_594	1
fr_595	1
fr_596	1
fr_597	1
fr_598	1
fr_599	0
fr_600	1
fr_601	0
fr_602	1
fr_603	1
fr_604	1
fr_605	1
fr_606	0
fr_607	0
fr_608	0
fr_609	0
fr_610	1
fr_611	1
fr_612	1
fr_613	0
fr_614	0
fr_615	0
fr_616	1
fr_617	0
fr_618	0
fr_619	1
fr_620	1
fr_621	1
fr_622	1
fr_623	0
fr_624	0
fr_625	0
fr_626	0
fr_627	0
fr_628	1
fr_629	1
fr_630	0
fr_631	1
fr_632	0
fr_633	0
fr_634	1
fr_635	1
fr_636	0
fr_637	0
fr_638	0
fr_639	1
fr_640	1
fr_641	1
fr_642	0
fr_643	0
fr_644	1
fr_645	0
fr_646	0
fr_647	0
fr_648	0
fr_649	1
fr_650	0
fr_651	1
fr_652	1
fr_653	0
fr_654	1
fr_655	1
fr_656	0
fr_657	1
fr_658	0
fr_659	0
fr_660	0
fr_661	0
fr_662	0
fr_663	1
fr_664	1
fr_665	0
fr_666	0
fr_667	1
fr_668	1
fr_669	0
fr_670	1
fr_671	1
fr_672	0
fr_673	0
fr_674	1
fr_675	1
fr_676	1
fr_677	0
fr_678	1
fr_679	0
fr_680	0
fr_681	1
fr_682	1
fr_683	0
fr_684	0
fr_685	0
fr_686	0
fr_687	0
fr_688	1
fr_689	1
fr_690	1
fr_691	1
fr_692	0
fr_693	1
fr_694	0
fr_695	1
fr_696	1
fr_697	0
fr_698	1
fr_699	1
fr_700	1
fr_701	0
fr_702	1
fr_703	1
fr_704	1
fr_705	1
fr_706	1
fr_707	0
fr_708	1
fr_709	1
fr_710	0
fr_711	0
fr_712	1
fr_713	0
fr_714	1
fr_715	1
fr_716	1
fr_717	0
fr_718	1
fr_719	0
fr_720	0
fr_721	1
fr_722	1
fr_723	0
fr_724	0
fr_725	1
fr_726	1
fr_727	1
fr_728	1
fr_729	0
fr_730	0
fr_731	1
fr_732	0
fr_733	0
fr_734	1
fr_735	1
fr_736	0
fr_737	1
fr_738	0
fr_739	1
fr_740	0
fr_741	1
fr_742	1
fr_743	1
fr_744	1
fr_745	0
fr_746	0
fr_747	1
fr_748	1
fr_749	0
fr_750	0
fr_751	1
fr_752	1
fr_753	1
fr_754	0
fr_755	1
fr_756	0
fr_757	1
fr_758	0
fr_759	0
fr_760	1
fr_761	1
fr_762	0
fr_763	1
fr_764	1
fr_765	0
fr_766	1
fr_767	1
fr_768	1
fr_769	1
fr_770	1
fr_771	1
fr_772	0
fr_773	0
fr_774	0
fr_775	1
fr_776	1
fr_777	0
fr_778	0
fr_779	1
fr_780	0
fr_781	0
fr_782	1
fr_783	0
fr_784	0
fr_785	1
fr_786	1
fr_787	1
fr_788	0
fr_789	0
fr_790	1
fr_791	1
fr_792	1
fr_793	1
fr_794	0
fr_795	0
fr_796	1
fr_797	0
fr_798	1
fr_799	1
fr_800	1
fr_801	0
fr_802	0
fr_803	0
fr_804	1
fr_805	1
fr_806	1
fr_807	1
fr_808	1
fr_809	1
fr_810	1
fr_811	1
fr_812	1
fr_813	1
fr_814	0
fr_815	0
fr_816	1
fr_817	0
fr_818	1
fr_819	1
fr_820	0
fr_821	0
fr_822	1
fr_823	0
fr_824	1
fr_825	0
fr_826	0
fr_827	1
fr_828	0
fr_829	1
fr_830	0
fr_831	1
fr_832	1
fr_833	1
fr_834	1
fr_835	1
fr_836	1
fr_837	1
fr_838	1
fr_839	1
fr_840	0
fr_841	1
fr_842	0
fr_843	0
fr_844	1
fr_845	0
fr_846	0
fr_847	0
fr_848	1
fr_849	1
fr_850	1
fr_851	1
fr_852	0
fr_853	1
fr_854	1
fr_855	1
fr_856	0
fr_857	0
fr_858	1
fr_859	0
fr_860	1
fr_861	1
fr_862	0
fr_863	1
fr_864	1
fr_865	0
fr_866	0
fr_867	0
fr_868	1
fr_869	1
fr_870	1
fr_871	1
fr_872	1
fr_873	0
fr_874	1
fr_875	0
fr_876	1
fr_877	1
fr_878	0
fr_879	1
fr_880	1
fr_881	1
fr_882	1
fr_883	1
fr_884	0
fr_885	0
fr_886	1
fr_887	0
fr_888	1
fr_889	1
fr_890	1
fr_891	1
fr_892	1
fr_893	0
fr_894	1
fr_895	0
fr_896	0
fr_897	0
fr_898	1
fr_899	1
fr_900	1
fr_901	1
fr_902	1
fr_903	1
fr_904	1
fr_905	1
fr_906	0
fr_907	1
fr_908	1
fr_909	1
fr_910	1
fr_911	0
fr_912	1
fr_913	1
fr_914	0
fr_915	0
fr_916	1
fr_917	1
fr_918	1
fr_919	1
fr_920	0
fr_921	0
fr_922	1
fr_923	0
fr_924	1
fr_925	0
fr_926	1
fr_927	0
fr_928	0
fr_929	0
fr_930	1
fr_931	0
fr_932	0
fr_933	0
fr_934	1
fr_935	0
fr_936	0
fr_937	1
fr_938	0
fr_939	1
fr_940	0
fr_941	0
fr_942	1
fr_943	0
fr_944	0
fr_945	1
fr_946	1
fr_947	1
fr_948	0
fr_949	0
fr_950	1
fr_951	1
fr_952	1
fr_953	0
fr_954	0
fr_955	1
fr_956	1
fr_957	1
fr_958	1
fr_959	0
fr_960	1
fr_961	1
fr_962	1
fr_963	1
fr_964	1
fr_965	1
fr_966	1
fr_967	0
fr_968	1
fr_969	0
fr_970	1
fr_971	1
fr_972	1
fr_973	1
fr_974	1
fr_975	1
fr_976	1
fr_977	0
fr_978	1
fr_979	1
fr_980	1
fr_981	1
fr_982	0
fr_983	0
fr_984	1
fr_985	1
fr_986	1
fr_987	1
fr_988	1
fr_989	0
fr_990	1
fr_991	1
fr_992	1
fr_993	0
fr_994	1
fr_995	1
fr_996	1
fr_997	1
fr_998	1
fr_999	1
fr_1000	0
fr_1001	1
fr_1002	1
fr_1003	1
fr_1004	1
fr_1005	0
fr_1006	0
fr_1007	1
fr_1008	0
fr_1009	0
fr_1010	1
fr_1011	1
fr_1012	0
fr_1013	0
fr_1014	0
fr_1015	1
fr_1016	0
fr_1017	1
fr_1018	0
fr_1019	0
fr_1020	0
fr_1021	1
fr_1022	1
fr_1023	0
fr_1024	1
fr_1025	0
fr_1026	1
fr_1027	1
fr_1028	0
fr_1029	1
fr_1030	1
fr_1031	0
fr_1032	1
fr_1033	1
fr_1034	1
fr_1035	1
fr_1036	1
fr_1037	1
fr_1038	1
fr_1039	1
fr_1040	1
fr_1041	1
fr_1042	0
fr_1043	1
fr_1044	0
fr_1045	1
fr_1046	1
fr_1047	1
fr_1048	0
fr_1049	1
fr_1050	1
fr_1051	1
fr_1052	1
fr_1053	0
fr_1054	1
fr_1055	1
fr_1056	1
fr_1057	1
fr_1058	1
fr_1059	1
fr_1060	0
fr_1061	0
fr_1062	1
fr_1063	1
fr_1064	1
fr_1065	1
fr_1066	1
fr_1067	0
fr_1068	1
fr_1069	1
fr_1070	0
fr_1071	0
fr_1072	1
fr_1073	0
fr_1074	0
fr_1075	1
fr_1076	1
fr_1077	1
fr_1078	1
fr_1079	1
fr_1080	1
fr_1081	1
fr_1082	1
fr_1083	1
fr_1084	1
fr_1085	1
fr_1086	0
fr_1087	1
fr_1088	1
fr_1089	0
fr_1090	0
fr_1091	0
fr_1092	1
fr_1093	1
fr_1094	1
fr_1095	0
fr_1096	0
fr_1097	1
fr_1098	0
fr_1099	0
fr_1100	0
fr_1101	1
fr_1102	1
fr_1103	1
fr_1104	1
fr_1105	1
fr_1106	0
fr_1107	1
fr_1108	0
fr_1109	0
fr_1110	1
fr_1111	1
fr_1112	1
fr_1113	0
fr_1114	1
fr_1115	1
fr_1116	0
fr_1117	1
fr_1118	0
fr_1119	1
fr_1120	1
fr_1121	1
fr_1122	0
fr_1123	1
fr_1124	1
fr_1125	1
fr_1126	0
fr_1127	1
fr_1128	1
fr_1129	0
fr_1130	0
fr_1131	0
fr_1132	0
fr_1133	1
fr_1134	0
fr_1135	1
fr_1136	0
fr_1137	1
fr_1138	1
fr_1139	1
fr_1140	1
fr_1141	1
fr_1142	1
fr_1143	1
fr_1144	1
fr_1145	1
fr_1146	0
fr_1147	1
fr_1148	0
fr_1149	1
fr_1150	0
fr_1151	1
fr_1152	0
fr_1153	1
fr_1154	1
fr_1155	1
fr_1156	1
fr_1157	1
fr_1158	1
fr_1159	0
fr_1160	1
fr_1161	1
fr_1162	0
fr_1163	1
fr_1164	1
fr_1165	1
fr_1166	0
fr_1167	1
fr_1168	0
fr_1169	0
fr_1170	0
fr_1171	1
fr_1172	0
fr_1173	1
fr_1174	1
fr_1175	0
fr_1176	1
fr_1177	1
fr_1178	1
fr_1179	0
fr_1180	0
fr_1181	1
fr_1182	0
fr_1183	1
fr_1184	1
fr_1185	1
fr_1186	0
fr_1187	0
fr_1188	0
fr_1189	1
fr_1190	1
fr_1191	1
fr_1192	1
fr_1193	1
fr_1194	1
fr_1195	1
fr_1196	0
fr_1197	1
fr_1198	1
fr_1199	0
fr_1200	1
fr_1201	1
fr_1202	1
fr_1203	1
fr_1204	0
fr_1205	1
fr_1206	0
fr_1207	1
fr_1208	0
fr_1209	1
fr_1210	1
fr_1211	1
fr_1212	1
fr_1213	1
fr_1214	1
fr_1215	1
fr_1216	0
fr_1217	1
fr_1218	1
fr_1219	1
fr_1220	1
fr_1221	0
fr_1222	1
fr_1223	1
fr_1224	1
fr_1225	1
fr_1226	0
fr_1227	1
fr_1228	1
fr_1229	0
fr_1230	0
fr_1231	0
fr_1232	1
fr_1233	0
fr_1234	1
fr_1235	1
fr_1236	1
fr_1237	0
fr_1238	0
fr_1239	0
fr_1240	1
fr_1241	1
fr_1242	1
fr_1243	0
fr_1244	0
fr_1245	1
fr_1246	0
fr_1247	0
fr_1248	1
fr_1249	1
fr_1250	1
fr_1251	1
fr_1252	0
fr_1253	1
fr_1254	0
fr_1255	1
fr_1256	1
fr_1257	1
fr_1258	0
fr_1259	0
fr_1260	0
fr_1261	0
fr_1262	1
fr_1263	1
fr_1264	0
fr_1265	0
fr_1266	0
fr_1267	1
fr_1268	1
fr_1269	1
fr_1270	1
fr_1271	1
fr_1272	0
fr_1273	1
fr_1274	0
fr_1275	0
fr_1276	1
fr_1277	1
fr_1278	1
fr_1279	0
fr_1280	0
fr_1281	1
fr_1282	0
fr_1283	0
fr_1284	1
fr_1285	1
fr_1286	0
fr_1287	1
fr_1288	0
fr_1289	0
fr_1290	1
fr_1291	0
fr_1292	1
fr_1293	0
fr_1294	0
fr_1295	0
fr_1296	0
fr_1297	1
fr_1298	0
fr_1299	1
fr_1300	1
fr_1301	1
fr_1302	0
fr_1303	0
fr_1304	0
fr_1305	0
fr_1306	1
fr_1307	0
fr_1308	0
fr_1309	0
fr_1310	1
fr_1311	0
fr_1312	1
fr_1313	0
fr_1314	0
fr_1315	1
fr_1316	0
fr_1317	1
fr_1318	0
fr_1319	1
fr_1320	0
fr_1321	1
fr_1322	1
fr_1323	0
fr_1324	0
fr_1325	0
fr_1326	1
fr_1327	0
fr_1328	1
fr_1329	0
fr_1330	0
fr_1331	0
fr_1332	1
fr_1333	1
fr_1334	0
fr_1335	0
fr_1336	0
fr_1337	0
fr_1338	0
fr_1339	1
fr_1340	1
fr_1341	1
fr_1342	1
fr_1343	0
fr_1344	1
fr_1345	1
fr_1346	1
fr_1347	0
fr_1348	0
fr_1349	0
fr_1350	0
fr_1351	1
fr_1352	1
fr_1353	1
fr_1354	0
fr_1355	0
fr_1356	0
fr_1357	0
fr_1358	1
fr_1359	0
fr_1360	1
fr_1361	1
fr_1362	0
fr_1363	0
fr_1364	0
fr_1365	0
fr_1366	1
fr_1367	1
fr_1368	0
fr_1369	1
fr_1370	0
fr_1371	0
fr_1372	1
fr_1373	0
fr_1374	1
fr_1375	0
fr_1376	0
fr_1377	0
fr_1378	0
fr_1379	0
fr_1380	1
fr_1381	1
fr_1382	0
fr_1383	1
fr_1384	1
fr_1385	1
fr_1386	0
fr_1387	0
fr_1388	1
fr_1389	1
fr_1390	0
fr_1391	1
fr_1392	0
fr_1393	0
fr_1394	1
fr_1395	1
fr_1396	1
fr_1397	1
fr_1398	1
fr_1399	1
fr_1400	1
fr_1401	1
fr_1402	1
fr_1403	0
fr_1404	1
fr_1405	1
fr_1406	1
fr_1407	0
fr_1408	0
fr_1409	0
fr_1410	1
fr_1411	1
fr_1412	1
fr_1413	1
fr_1414	0
fr_1415	1
fr_1416	0
fr_1417	1
fr_1418	0
fr_1419	0
fr_1420	1
fr_1421	1
fr_1422	1
fr_1423	1
fr_1424	1
fr_1425	0
fr_1426	0
fr_1427	1
fr_1428	1
fr_1429	1
fr_1430	0
fr_1431	0
fr_1432	0
fr_1433	0
fr_1434	1
fr_1435	0
fr_1436	0
fr_1437	0
fr_1438	0
fr_1439	0
fr_1440	0
fr_1441	0
fr_1442	1
fr_1443	1
fr_1444	1
fr_1445	1
fr_1446	1
fr_1447	0
fr_1448	0
fr_1449	0
fr_1450	0
fr_1451	1
fr_1452	1
fr_1453	0
fr_1454	1
fr_1455	1
fr_1456	1
fr_1457	1
fr_1458	1
fr_1459	0
fr_1460	1
fr_1461	0
fr_1462	0
fr_1463	1
fr_1464	0
fr_1465	0
fr_1466	1
fr_1467	1
fr_1468	1
fr_1469	1
fr_1470	1
fr_1471	0
fr_1472	0
fr_1473	1
fr_1474	1
fr_1475	1
fr_1476	0
fr_1477	1
fr_1478	1
fr_1479	1
fr_1480	1
fr_1481	0
fr_1482	1
fr_1483	0
fr_1484	1
fr_1485	0
fr_1486	1
fr_1487	1
fr_1488	1
fr_1489	0
fr_1490	0
fr_1491	1
fr_1492	1
fr_1493	0
fr_1494	0
fr_1495	0
fr_1496	1
fr_1497	0
fr_1498	1
fr_1499	0
fr_1500	1
fr_1501	0
fr_1502	1
fr_1503	0
fr_1504	1
fr_1505	1
fr_1506	1
fr_1507	0
fr_1508	1
fr_1509	1
fr_1510	1
fr_1511	0
fr_1512	1
fr_1513	0
fr_1514	1
fr_1515	0
fr_1516	1
fr_1517	0
fr_1518	0
fr_1519	1
fr_1520	0
fr_1521	1
fr_1522	1
fr_1523	0
fr_1524	1
fr_1525	1
fr_1526	1
fr_1527	1
fr_1528	0
fr_1529	1
fr_1530	1
fr_1531	1
fr_1532	1
fr_1533	1
fr_1534	1
fr_1535	1
fr_1536	0
fr_1537	0
fr_1538	0
fr_1539	0
fr_1540	0
fr_1541	1
fr_1542	1
fr_1543	1
fr_1544	1
fr_1545	1
fr_1546	0
fr_1547	0
fr_1548	1
fr_1549	0
fr_1550	0
fr_1551	1
fr_1552	0
fr_1553	0
fr_1554	0
fr_1555	1
fr_1556	1
fr_1557	0
fr_1558	1
fr_1559	1
fr_1560	1
fr_1561	1
fr_1562	1
fr_1563	0
fr_1564	1
fr_1565	0
fr_1566	1
fr_1567	1
fr_1568	1
fr_1569	0
fr_1570	1
fr_1571	0
fr_1572	0
fr_1573	0
fr_1574	0
fr_1575	1
fr_1576	1
fr_1577	1
fr_1578	0
fr_1579	0
fr_1580	1
fr_1581	1
fr_1582	0
fr_1583	0
fr_1584	1
fr_1585	0
fr_1586	1
fr_1587	0
fr_1588	1
fr_1589	1
fr_1590	1
fr_1591	1
fr_1592	1
fr_1593	1
fr_1594	1
fr_1595	1
fr_1596	1
fr_1597	1
fr_1598	0
fr_1599	0
fr_1600	1
fr_1601	0
fr_1602	1
fr_1603	1
fr_1604	0
fr_1605	0
fr_1606	0
fr_1607	0
fr_1608	1
fr_1609	0
fr_1610	0
fr_1611	0
fr_1612	1
fr_1613	1
fr_1614	1
fr_1615	0
fr_1616	1
fr_1617	1
fr_1618	0
fr_1619	1
fr_1620	0
fr_1621	0
fr_1622	1
fr_1623	1
fr_1624	1
fr_1625	0
fr_1626	1
fr_1627	1
fr_1628	1
fr_1629	1
fr_1630	0
fr_1631	0
fr_1632	0
fr_1633	1
fr_1634	0
fr_1635	1
fr_1636	0
fr_1637	1
fr_1638	0
fr_1639	1
fr_1640	1
fr_1641	0
fr_1642	1
fr_1643	1
fr_1644	1
fr_1645	1
fr_1646	1
fr_1647	0
fr_1648	0
fr_1649	0
fr_1650	1
fr_1651	1
fr_1652	1
fr_1653	0
fr_1654	1
fr_1655	1
fr_1656	0
fr_1657	1
fr_1658	0
fr_1659	1
fr_1660	1
fr_1661	1
fr_1662	0
fr_1663	1
fr_1664	1
fr_1665	0
fr_1666	1
fr_1667	1
fr_1668	1
fr_1669	1
fr_1670	0
fr_1671	0
fr_1672	1
fr_1673	1
fr_1674	1
fr_1675	1
fr_1676	1
fr_1677	1
fr_1678	1
fr_1679	1
fr_1680	0
fr_1681	1
fr_1682	0
fr_1683	0
fr_1684	1
fr_1685	0
fr_1686	1
fr_1687	0
fr_1688	1
fr_1689	0
fr_1690	0
fr_1691	1
fr_1692	1
fr_1693	0
fr_1694	1
fr_1695	1
fr_1696	0
fr_1697	1
fr_1698	0
fr_1699	0
fr_1700	1
fr_1701	0
fr_1702	1
fr_1703	1
fr_1704	1
fr_1705	0
fr_1706	1
fr_1707	1
fr_1708	0
fr_1709	1
fr_1710	0
fr_1711	1
fr_1712	1
fr_1713	1
fr_1714	1
fr_1715	1
fr_1716	1
fr_1717	1
fr_1718	1
fr_1719	1
fr_1720	1
fr_1721	0
fr_1722	0
fr_1723	0
fr_1724	0
fr_1725	1
fr_1726	0
fr_1727	0
fr_1728	1
fr_1729	0
fr_1730	1
fr_1731	1
fr_1732	1
fr_1733	0
fr_1734	0
fr_1735	1
fr_1736	0
fr_1737	1
fr_1738	1
fr_1739	0
fr_1740	0
fr_1741	0
fr_1742	1
fr_1743	0
fr_1744	1
fr_1745	0
fr_1746	0
fr_1747	1
fr_1748	1
fr_1749	1
fr_1750	1
fr_1751	1
fr_1752	0
fr_1753	0
fr_1754	1
fr_1755	1
fr_1756	1
fr_1757	0
fr_1758	1
fr_1759	0
fr_1760	1
fr_1761	1
fr_1762	1
fr_1763	1
fr_1764	1
fr_1765	0
fr_1766	1
fr_1767	0
fr_1768	1
fr_1769	0
fr_1770	1
fr_1771	1
fr_1772	1
fr_1773	0
fr_1774	0
fr_1775	0
fr_1776	0
fr_1777	1
fr_1778	1
fr_1779	1
fr_1780	1
fr_1781	1
fr_1782	1
fr_1783	1
fr_1784	1
fr_1785	0
fr_1786	0
fr_1787	0
fr_1788	0
fr_1789	1
fr_1790	1
fr_1791	0
fr_1792	1
fr_1793	0
fr_1794	1
fr_1795	0
fr_1796	1
fr_1797	0
fr_1798	1
fr_1799	1
fr_1800	0
fr_1801	0
fr_1802	1
fr_1803	1
fr_1804	1
fr_1805	1
fr_1806	0
fr_1807	0
fr_1808	0
fr_1809	1
fr_1810	1
fr_1811	0
fr_1812	0
fr_1813	1
fr_1814	0
fr_1815	1
fr_1816	0
fr_1817	0
fr_1818	1
fr_1819	1
fr_1820	1
fr_1821	1
fr_1822	1
fr_1823	0
fr_1824	1
fr_1825	0
fr_1826	1
fr_1827	0
fr_1828	0
fr_1829	1
fr_1830	1
fr_1831	1
fr_1832	1
fr_1833	1
fr_1834	1
fr_1835	0
fr_1836	0
fr_1837	0
fr_1838	1
fr_1839	1
fr_1840	0
fr_1841	1
fr_1842	1
fr_1843	0
fr_1844	0
fr_1845	0
fr_1846	1
fr_1847	0
fr_1848	1
fr_1849	1
fr_1850	1
fr_1851	1
fr_1852	0
fr_1853	0
fr_1854	1
fr_1855	1
fr_1856	1
fr_1857	1
fr_1858	1
fr_1859	0
fr_1860	1
fr_1861	1
fr_1862	1
fr_1863	0
fr_1864	0
fr_1865	1
fr_1866	0
fr_1867	1
fr_1868	1
fr_1869	1
fr_1870	0
fr_1871	0
fr_1872	0
fr_1873	0
fr_1874	1
